TICKER,LTP,OPEN,HIGH,LOW,PREV CLOSE,VOLUME,BUY,SELL
TCS,3101,3145,3150,3071,3103.3,2245977,FALSE,FALSE
IRCTC,720.45,732,733.95,719.4,724.1,1612489,FALSE,FALSE
WIPRO,377.8,387,387.5,376.25,379.1,13932397,FALSE,FALSE
MRF,81530.7,82990,83200,81010.3,82112.35,7118,FALSE,FALSE
COALINDIA,236.35,238.95,238.95,235.35,234.55,6241886,FALSE,TRUE
TITAN,2619.85,2640,2663.6,2607.75,2598.65,1326916,FALSE,FALSE
ICICIBANK,872,883.8,883.8,868.55,853.6,8199540,FALSE,TRUE
TATAMOTORS,396.25,407,409.2,395.3,399,12875470,FALSE,FALSE
SBIN,527.8,530.2,534.85,526,521.45,8545479,FALSE,FALSE
LICI,613.2,617.6,619.05,612,611.6,617660,FALSE,FALSE
